;20;25;30;35;40;45;50;55;60
N;2.8;2.1;1.4;1.5;1.7;1.0;0.8;0.9;0.8
NE;1.4;1.5;1.6;1.2;1.3;1.3;0.9;0.9;0.8
NW;1.4;1.5;1.6;1.2;1.3;1.3;0.9;0.9;0.8
E;1.2;1.2;1.1;1.1;1.1;1.0;1.0;0.9;0.8
W;1.2;1.2;1.1;1.1;1.1;1.0;1.0;0.9;0.8
SE;2.1;1.8;2.0;1.7;1.5;1.6;1.4;1.2;1.1
SW;2.1;1.8;2.0;1.7;1.5;1.6;1.4;1.2;1.1
S;20.0;14.0;6.9;4.7;3.3;2.7;2.1;1.7;1.4
